2019-12-02 00:00:00 Launching analysis for BacktestingAlgorithm.py with LEAN Engine v2.5.0.0
2020-01-21 16:00:00 Received data for GOOGL: Close Price = 1482.25
2020-01-21 16:00:00 No data available for AMZN at this time.
2020-01-21 16:00:00 No data available for TSLA at this time.
2020-01-21 16:00:00 No data available for JNJ at this time.
2020-01-21 16:00:00 No data available for PG at this time.
2020-01-22 16:00:00 Received data for AAPL: Close Price = 78.627461805
2020-01-22 16:00:00 No data available for MSFT at this time.
2020-01-22 16:00:00 Received data for GOOGL: Close Price = 1484.17
2020-01-22 16:00:00 No data available for AMZN at this time.
2020-01-22 16:00:00 No data available for TSLA at this time.
2020-01-22 16:00:00 No data available for JNJ at this time.
2020-01-22 16:00:00 No data available for PG at this time.
2020-01-23 16:00:00 Received data for AAPL: Close Price = 79.0061209695
2020-01-23 16:00:00 No data available for MSFT at this time.
2020-01-23 16:00:00 Received data for GOOGL: Close Price = 1484.69
2020-01-23 16:00:00 No data available for AMZN at this time.
2020-01-23 16:00:00 No data available for TSLA at this time.
2020-01-23 16:00:00 No data available for JNJ at this time.
2020-01-23 16:00:00 No data available for PG at this time.
2020-01-24 16:00:00 Received data for AAPL: Close Price = 78.7784304915
2020-01-24 16:00:00 No data available for MSFT at this time.
2020-01-24 16:00:00 Received data for GOOGL: Close Price = 1466.17
2020-01-24 16:00:00 No data available for AMZN at this time.
2020-01-24 16:00:00 No data available for TSLA at this time.
2020-01-24 16:00:00 No data available for JNJ at this time.
2020-01-24 16:00:00 No data available for PG at this time.
2020-01-27 16:00:00 Received data for AAPL: Close Price = 76.4619273675
2020-01-27 16:00:00 No data available for MSFT at this time.
2020-01-27 16:00:00 Received data for GOOGL: Close Price = 1431.73
2020-01-27 16:00:00 No data available for AMZN at this time.
2020-01-27 16:00:00 No data available for TSLA at this time.
2020-01-27 16:00:00 No data available for JNJ at this time.
2020-01-27 16:00:00 No data available for PG at this time.
2020-01-28 16:00:00 Received data for AAPL: Close Price = 78.6249869085
2020-01-28 16:00:00 No data available for MSFT at this time.
2020-01-28 16:00:00 Received data for GOOGL: Close Price = 1450.5
2020-01-28 16:00:00 No data available for AMZN at this time.
2020-01-28 16:00:00 No data available for TSLA at this time.
2020-01-28 16:00:00 No data available for JNJ at this time.
2020-01-28 16:00:00 No data available for PG at this time.
2020-01-29 16:00:00 Received data for AAPL: Close Price = 80.270793081
2020-01-29 16:00:00 No data available for MSFT at this time.
2020-01-29 16:00:00 Received data for GOOGL: Close Price = 1456.7
2020-01-29 16:00:00 No data available for AMZN at this time.
2020-01-29 16:00:00 No data available for TSLA at this time.
2020-01-29 16:00:00 No data available for JNJ at this time.
2020-01-29 16:00:00 No data available for PG at this time.
2020-01-30 16:00:00 Received data for AAPL: Close Price = 80.1544729455
2020-01-30 16:00:00 No data available for MSFT at this time.
2020-01-30 16:00:00 Received data for GOOGL: Close Price = 1454.25
2020-01-30 16:00:00 No data available for AMZN at this time.
2020-01-30 16:00:00 No data available for TSLA at this time.
2020-01-30 16:00:00 No data available for JNJ at this time.
2020-01-30 16:00:00 No data available for PG at this time.
2020-01-31 16:00:00 Received data for AAPL: Close Price = 76.6005215715
2020-01-31 16:00:00 No data available for MSFT at this time.
2020-01-31 16:00:00 Received data for GOOGL: Close Price = 1432.78
2020-01-31 16:00:00 No data available for AMZN at this time.
2020-01-31 16:00:00 No data available for TSLA at this time.
2020-01-31 16:00:00 No data available for JNJ at this time.
2020-01-31 16:00:00 No data available for PG at this time.
2020-02-03 16:00:00 Received data for AAPL: Close Price = 76.390155369
2020-02-03 16:00:00 No data available for MSFT at this time.
2020-02-03 16:00:00 Received data for GOOGL: Close Price = 1482.6
2020-02-03 16:00:00 No data available for AMZN at this time.
2020-02-03 16:00:00 No data available for TSLA at this time.
2020-02-03 16:00:00 No data available for JNJ at this time.
2020-02-03 16:00:00 No data available for PG at this time.
2020-02-04 16:00:00 Received data for AAPL: Close Price = 78.9120749025
2020-02-04 16:00:00 No data available for MSFT at this time.
2020-02-04 16:00:00 Received data for GOOGL: Close Price = 1445.41
2020-02-04 16:00:00 No data available for AMZN at this time.
2020-02-04 16:00:00 No data available for TSLA at this time.
2020-02-04 16:00:00 No data available for JNJ at this time.
2020-02-04 16:00:00 No data available for PG at this time.
2020-02-05 16:00:00 Received data for AAPL: Close Price = 79.5555479925
2020-02-05 16:00:00 No data available for MSFT at this time.
2020-02-05 16:00:00 Received data for GOOGL: Close Price = 1446.05
2020-02-05 16:00:00 No data available for AMZN at this time.
2020-02-05 16:00:00 No data available for TSLA at this time.
2020-02-05 16:00:00 No data available for JNJ at this time.
2020-02-05 16:00:00 No data available for PG at this time.
2020-02-06 16:00:00 Received data for AAPL: Close Price = 80.4861090765
2020-02-06 16:00:00 No data available for MSFT at this time.
2020-02-06 16:00:00 Received data for GOOGL: Close Price = 1475.97
2020-02-06 16:00:00 No data available for AMZN at this time.
2020-02-06 16:00:00 No data available for TSLA at this time.
2020-02-06 16:00:00 No data available for JNJ at this time.
2020-02-06 16:00:00 No data available for PG at this time.
2020-02-07 00:00:00 No data available for AAPL at this time.
2020-02-07 00:00:00 No data available for MSFT at this time.
2020-02-07 00:00:00 No data available for GOOGL at this time.
2020-02-07 00:00:00 No data available for AMZN at this time.
2020-02-07 00:00:00 No data available for TSLA at this time.
2020-02-07 00:00:00 No data available for JNJ at this time.
2020-02-07 00:00:00 No data available for PG at this time.
2020-02-07 16:00:00 Received data for AAPL: Close Price = 79.39208231
2020-02-07 16:00:00 No data available for MSFT at this time.
2020-02-07 16:00:00 Received data for GOOGL: Close Price = 1479.11
2020-02-07 16:00:00 No data available for AMZN at this time.
2020-02-07 16:00:00 No data available for TSLA at this time.
2020-02-07 16:00:00 No data available for JNJ at this time.
2020-02-07 16:00:00 No data available for PG at this time.
2020-02-10 16:00:00 Received data for AAPL: Close Price = 79.76915935
2020-02-10 16:00:00 No data available for MSFT at this time.
2020-02-10 16:00:00 Received data for GOOGL: Close Price = 1508.66
2020-02-10 16:00:00 No data available for AMZN at this time.
2020-02-10 16:00:00 No data available for TSLA at this time.
2020-02-10 16:00:00 No data available for JNJ at this time.
2020-02-10 16:00:00 No data available for PG at this time.
2020-02-11 16:00:00 Received data for AAPL: Close Price = 79.28788997
2020-02-11 16:00:00 No data available for MSFT at this time.
2020-02-11 16:00:00 Received data for GOOGL: Close Price = 1510.06
2020-02-11 16:00:00 No data available for AMZN at this time.
2020-02-11 16:00:00 No data available for TSLA at this time.
2020-02-11 16:00:00 No data available for JNJ at this time.
2020-02-11 16:00:00 No data available for PG at this time.
2020-02-12 16:00:00 Received data for AAPL: Close Price = 81.1707944
2020-02-12 16:00:00 No data available for MSFT at this time.
2020-02-12 16:00:00 Received data for GOOGL: Close Price = 1518.63
2020-02-12 16:00:00 No data available for AMZN at this time.
2020-02-12 16:00:00 No data available for TSLA at this time.
2020-02-12 16:00:00 No data available for JNJ at this time.
2020-02-12 16:00:00 No data available for PG at this time.
2020-02-13 16:00:00 Received data for AAPL: Close Price = 80.59277499
2020-02-13 16:00:00 No data available for MSFT at this time.
2020-02-13 16:00:00 Received data for GOOGL: Close Price = 1513.39
2020-02-13 16:00:00 No data available for AMZN at this time.
2020-02-13 16:00:00 No data available for TSLA at this time.
2020-02-13 16:00:00 No data available for JNJ at this time.
2020-02-13 16:00:00 No data available for PG at this time.
2020-02-14 16:00:00 Received data for AAPL: Close Price = 80.61262115
2020-02-14 16:00:00 No data available for MSFT at this time.
2020-02-14 16:00:00 Received data for GOOGL: Close Price = 1518.73
2020-02-14 16:00:00 No data available for AMZN at this time.
2020-02-14 16:00:00 No data available for TSLA at this time.
2020-02-14 16:00:00 No data available for JNJ at this time.
2020-02-14 16:00:00 No data available for PG at this time.
2020-02-18 16:00:00 Received data for AAPL: Close Price = 79.136563
2020-02-18 16:00:00 No data available for MSFT at this time.
2020-02-18 16:00:00 Received data for GOOGL: Close Price = 1519.44
2020-02-18 16:00:00 No data available for AMZN at this time.
2020-02-18 16:00:00 No data available for TSLA at this time.
2020-02-18 16:00:00 No data available for JNJ at this time.
2020-02-18 16:00:00 No data available for PG at this time.
2020-02-19 16:00:00 Received data for AAPL: Close Price = 80.28267874
2020-02-19 16:00:00 No data available for MSFT at this time.
2020-02-19 16:00:00 Received data for GOOGL: Close Price = 1524.87
2020-02-19 16:00:00 No data available for AMZN at this time.
2020-02-19 16:00:00 No data available for TSLA at this time.
2020-02-19 16:00:00 No data available for JNJ at this time.
2020-02-19 16:00:00 No data available for PG at this time.
2020-02-20 16:00:00 Received data for AAPL: Close Price = 79.4590631
2020-02-20 16:00:00 No data available for MSFT at this time.
2020-02-20 16:00:00 Received data for GOOGL: Close Price = 1516.99
2020-02-20 16:00:00 No data available for AMZN at this time.
2020-02-20 16:00:00 No data available for TSLA at this time.
2020-02-20 16:00:00 No data available for JNJ at this time.
2020-02-20 16:00:00 No data available for PG at this time.
2020-02-21 16:00:00 Received data for AAPL: Close Price = 77.66050485
2020-02-21 16:00:00 No data available for MSFT at this time.
2020-02-21 16:00:00 Received data for GOOGL: Close Price = 1483.46
2020-02-21 16:00:00 No data available for AMZN at this time.
2020-02-21 16:00:00 No data available for TSLA at this time.
2020-02-21 16:00:00 No data available for JNJ at this time.
2020-02-21 16:00:00 No data available for PG at this time.
2020-02-24 16:00:00 Received data for AAPL: Close Price = 73.97159986
2020-02-24 16:00:00 No data available for MSFT at this time.
2020-02-24 16:00:00 Received data for GOOGL: Close Price = 1419.86
2020-02-24 16:00:00 No data available for AMZN at this time.
2020-02-24 16:00:00 No data available for TSLA at this time.
2020-02-24 16:00:00 No data available for JNJ at this time.
2020-02-24 16:00:00 No data available for PG at this time.
2020-02-25 16:00:00 Received data for AAPL: Close Price = 71.46602216
2020-02-25 16:00:00 No data available for MSFT at this time.
2020-02-25 16:00:00 Received data for GOOGL: Close Price = 1386.32
2020-02-25 16:00:00 No data available for AMZN at this time.
2020-02-25 16:00:00 No data available for TSLA at this time.
2020-02-25 16:00:00 No data available for JNJ at this time.
2020-02-25 16:00:00 No data available for PG at this time.
2020-02-26 16:00:00 Received data for AAPL: Close Price = 72.59973405
2020-02-26 16:00:00 No data available for MSFT at this time.
2020-02-26 16:00:00 Received data for GOOGL: Close Price = 1390.47
2020-02-26 16:00:00 No data available for AMZN at this time.
2020-02-26 16:00:00 No data available for TSLA at this time.
2020-02-26 16:00:00 No data available for JNJ at this time.
2020-02-26 16:00:00 No data available for PG at this time.
2020-02-27 16:00:00 Received data for AAPL: Close Price = 67.85402104
2020-02-27 16:00:00 No data available for MSFT at this time.
2020-02-27 16:00:00 Received data for GOOGL: Close Price = 1314.95
2020-02-27 16:00:00 No data available for AMZN at this time.
2020-02-27 16:00:00 No data available for TSLA at this time.
2020-02-27 16:00:00 No data available for JNJ at this time.
2020-02-27 16:00:00 No data available for PG at this time.
2020-02-28 16:00:00 Received data for AAPL: Close Price = 67.81432872
2020-02-28 16:00:00 No data available for MSFT at this time.
2020-02-28 16:00:00 Received data for GOOGL: Close Price = 1339.25
2020-02-28 16:00:00 No data available for AMZN at this time.
2020-02-28 16:00:00 No data available for TSLA at this time.
2020-02-28 16:00:00 No data available for JNJ at this time.
2020-02-28 16:00:00 No data available for PG at this time.
2020-03-02 16:00:00 Received data for AAPL: Close Price = 74.12788837
2020-03-02 16:00:00 No data available for MSFT at this time.
2020-03-02 16:00:00 Received data for GOOGL: Close Price = 1386.32
2020-03-02 16:00:00 No data available for AMZN at this time.
2020-03-02 16:00:00 No data available for TSLA at this time.
2020-03-02 16:00:00 No data available for JNJ at this time.
2020-03-02 16:00:00 No data available for PG at this time.
2020-03-03 16:00:00 Received data for AAPL: Close Price = 71.77363764
2020-03-03 16:00:00 No data available for MSFT at this time.
2020-03-03 16:00:00 Received data for GOOGL: Close Price = 1337.72
2020-03-03 16:00:00 No data available for AMZN at this time.
2020-03-03 16:00:00 No data available for TSLA at this time.
2020-03-03 16:00:00 No data available for JNJ at this time.
2020-03-03 16:00:00 No data available for PG at this time.
2020-03-04 16:00:00 Received data for AAPL: Close Price = 75.10283098
2020-03-04 16:00:00 No data available for MSFT at this time.
2020-03-04 16:00:00 Received data for GOOGL: Close Price = 1381.6
2020-03-04 16:00:00 No data available for AMZN at this time.
2020-03-04 16:00:00 No data available for TSLA at this time.
2020-03-04 16:00:00 No data available for JNJ at this time.
2020-03-04 16:00:00 No data available for PG at this time.
2020-03-05 16:00:00 Received data for AAPL: Close Price = 72.66671484
2020-03-05 16:00:00 No data available for MSFT at this time.
2020-03-05 16:00:00 Received data for GOOGL: Close Price = 1314.76
2020-03-05 16:00:00 No data available for AMZN at this time.
2020-03-05 16:00:00 No data available for TSLA at this time.
2020-03-05 16:00:00 No data available for JNJ at this time.
2020-03-05 16:00:00 No data available for PG at this time.
2020-03-06 16:00:00 Received data for AAPL: Close Price = 71.70169531
2020-03-06 16:00:00 No data available for MSFT at this time.
2020-03-06 16:00:00 Received data for GOOGL: Close Price = 1295.74
2020-03-06 16:00:00 No data available for AMZN at this time.
2020-03-06 16:00:00 No data available for TSLA at this time.
2020-03-06 16:00:00 No data available for JNJ at this time.
2020-03-06 16:00:00 No data available for PG at this time.
2020-03-09 16:00:00 Received data for AAPL: Close Price = 66.03065509
2020-03-09 16:00:00 No data available for MSFT at this time.
2020-03-09 16:00:00 Received data for GOOGL: Close Price = 1215.79
2020-03-09 16:00:00 No data available for AMZN at this time.
2020-03-09 16:00:00 No data available for TSLA at this time.
2020-03-09 16:00:00 No data available for JNJ at this time.
2020-03-09 16:00:00 No data available for PG at this time.
2020-03-10 16:00:00 Received data for AAPL: Close Price = 70.78629118
2020-03-10 16:00:00 No data available for MSFT at this time.
2020-03-10 16:00:00 Received data for GOOGL: Close Price = 1275.17
2020-03-10 16:00:00 No data available for AMZN at this time.
2020-03-10 16:00:00 No data available for TSLA at this time.
2020-03-10 16:00:00 No data available for JNJ at this time.
2020-03-10 16:00:00 No data available for PG at this time.
2020-03-11 16:00:00 Received data for AAPL: Close Price = 68.32784811
2020-03-11 16:00:00 No data available for MSFT at this time.
2020-03-11 16:00:00 Received data for GOOGL: Close Price = 1210.9
2020-03-11 16:00:00 No data available for AMZN at this time.
2020-03-11 16:00:00 No data available for TSLA at this time.
2020-03-11 16:00:00 No data available for JNJ at this time.
2020-03-11 16:00:00 No data available for PG at this time.
2020-03-12 16:00:00 Received data for AAPL: Close Price = 61.58015371
2020-03-12 16:00:00 No data available for MSFT at this time.
2020-03-12 16:00:00 Received data for GOOGL: Close Price = 1111.55
2020-03-12 16:00:00 No data available for AMZN at this time.
2020-03-12 16:00:00 No data available for TSLA at this time.
2020-03-12 16:00:00 No data available for JNJ at this time.
2020-03-12 16:00:00 No data available for PG at this time.
2020-03-13 16:00:00 Received data for AAPL: Close Price = 68.95796369
2020-03-13 16:00:00 No data available for MSFT at this time.
2020-03-13 16:00:00 Received data for GOOGL: Close Price = 1214.27
2020-03-13 16:00:00 No data available for AMZN at this time.
2020-03-13 16:00:00 No data available for TSLA at this time.
2020-03-13 16:00:00 No data available for JNJ at this time.
2020-03-13 16:00:00 No data available for PG at this time.
2020-03-16 16:00:00 Received data for AAPL: Close Price = 60.08673017
2020-03-16 16:00:00 No data available for MSFT at this time.
2020-03-16 16:00:00 Received data for GOOGL: Close Price = 1073.0
2020-03-16 16:00:00 No data available for AMZN at this time.
2020-03-16 16:00:00 No data available for TSLA at this time.
2020-03-16 16:00:00 No data available for JNJ at this time.
2020-03-16 16:00:00 No data available for PG at this time.
2020-03-17 16:00:00 Received data for AAPL: Close Price = 62.72875022
2020-03-17 16:00:00 No data available for MSFT at this time.
2020-03-17 16:00:00 Received data for GOOGL: Close Price = 1118.06
2020-03-17 16:00:00 No data available for AMZN at this time.
2020-03-17 16:00:00 No data available for TSLA at this time.
2020-03-17 16:00:00 No data available for JNJ at this time.
2020-03-17 16:00:00 No data available for PG at this time.
2020-03-18 16:00:00 Received data for AAPL: Close Price = 61.19315359
2020-03-18 16:00:00 No data available for MSFT at this time.
2020-03-18 16:00:00 Received data for GOOGL: Close Price = 1091.19
2020-03-18 16:00:00 No data available for AMZN at this time.
2020-03-18 16:00:00 No data available for TSLA at this time.
2020-03-18 16:00:00 No data available for JNJ at this time.
2020-03-18 16:00:00 No data available for PG at this time.
2020-03-19 16:00:00 Received data for AAPL: Close Price = 60.72428806
2020-03-19 16:00:00 No data available for MSFT at this time.
2020-03-19 16:00:00 Received data for GOOGL: Close Price = 1111.67
2020-03-19 16:00:00 No data available for AMZN at this time.
2020-03-19 16:00:00 No data available for TSLA at this time.
2020-03-19 16:00:00 No data available for JNJ at this time.
2020-03-19 16:00:00 No data available for PG at this time.
2020-03-20 16:00:00 Received data for AAPL: Close Price = 56.86917148
2020-03-20 16:00:00 No data available for MSFT at this time.
2020-03-20 16:00:00 Received data for GOOGL: Close Price = 1068.21
2020-03-20 16:00:00 No data available for AMZN at this time.
2020-03-20 16:00:00 No data available for TSLA at this time.
2020-03-20 16:00:00 No data available for JNJ at this time.
2020-03-20 16:00:00 No data available for PG at this time.
2020-03-23 16:00:00 Received data for AAPL: Close Price = 55.66103649
2020-03-23 16:00:00 No data available for MSFT at this time.
2020-03-23 16:00:00 Received data for GOOGL: Close Price = 1054.13
2020-03-23 16:00:00 No data available for AMZN at this time.
2020-03-23 16:00:00 No data available for TSLA at this time.
2020-03-23 16:00:00 No data available for JNJ at this time.
2020-03-23 16:00:00 No data available for PG at this time.
2020-03-24 16:00:00 Received data for AAPL: Close Price = 61.24524976
2020-03-24 16:00:00 No data available for MSFT at this time.
2020-03-24 16:00:00 Received data for GOOGL: Close Price = 1130.01
2020-03-24 16:00:00 No data available for AMZN at this time.
2020-03-24 16:00:00 No data available for TSLA at this time.
2020-03-24 16:00:00 No data available for JNJ at this time.
2020-03-24 16:00:00 No data available for PG at this time.
2020-03-25 16:00:00 Received data for AAPL: Close Price = 60.90786504
2020-03-25 16:00:00 No data available for MSFT at this time.
2020-03-25 16:00:00 Received data for GOOGL: Close Price = 1101.62
2020-03-25 16:00:00 No data available for AMZN at this time.
2020-03-25 16:00:00 No data available for TSLA at this time.
2020-03-25 16:00:00 No data available for JNJ at this time.
2020-03-25 16:00:00 No data available for PG at this time.
2020-03-26 16:00:00 Received data for AAPL: Close Price = 64.11301988
2020-03-26 16:00:00 No data available for MSFT at this time.
2020-03-26 16:00:00 Received data for GOOGL: Close Price = 1162.92
2020-03-26 16:00:00 No data available for AMZN at this time.
2020-03-26 16:00:00 No data available for TSLA at this time.
2020-03-26 16:00:00 No data available for JNJ at this time.
2020-03-26 16:00:00 No data available for PG at this time.
2020-03-27 16:00:00 Received data for AAPL: Close Price = 61.45859598
2020-03-27 16:00:00 No data available for MSFT at this time.
2020-03-27 16:00:00 Received data for GOOGL: Close Price = 1110.26
2020-03-27 16:00:00 No data available for AMZN at this time.
2020-03-27 16:00:00 No data available for TSLA at this time.
2020-03-27 16:00:00 No data available for JNJ at this time.
2020-03-27 16:00:00 No data available for PG at this time.
2020-03-30 16:00:00 Received data for AAPL: Close Price = 63.21250037
2020-03-30 16:00:00 No data available for MSFT at this time.
2020-03-30 16:00:00 Received data for GOOGL: Close Price = 1146.31
2020-03-30 16:00:00 No data available for AMZN at this time.
2020-03-30 16:00:00 No data available for TSLA at this time.
2020-03-30 16:00:00 No data available for JNJ at this time.
2020-03-30 16:00:00 No data available for PG at this time.
2020-03-31 16:00:00 Received data for AAPL: Close Price = 63.08350033
2020-03-31 16:00:00 No data available for MSFT at this time.
2020-03-31 16:00:00 Received data for GOOGL: Close Price = 1161.95
2020-03-31 16:00:00 No data available for AMZN at this time.
2020-03-31 16:00:00 No data available for TSLA at this time.
2020-03-31 16:00:00 No data available for JNJ at this time.
2020-03-31 16:00:00 No data available for PG at this time.
2020-04-01 16:00:00 Set holdings for AAPL to 31.43% based on market cap weighting
2020-04-01 16:00:00 Skipping MSFT due to invalid price or non-tradable status.
2020-04-01 16:00:00 Set holdings for GOOGL to 8.87% based on market cap weighting
2020-04-01 16:00:00 Skipping AMZN due to invalid price or non-tradable status.
2020-04-01 16:00:00 Skipping TSLA due to invalid price or non-tradable status.
2020-04-01 16:00:00 Skipping JNJ due to invalid price or non-tradable status.
2020-04-01 16:00:00 Skipping PG due to invalid price or non-tradable status.
2020-04-01 16:00:00 Received data for AAPL: Close Price = 59.76423007
2020-04-01 16:00:00 No data available for MSFT at this time.
2020-04-01 16:00:00 Received data for GOOGL: Close Price = 1102.1
2020-04-01 16:00:00 No data available for AMZN at this time.
2020-04-01 16:00:00 No data available for TSLA at this time.
2020-04-01 16:00:00 No data available for JNJ at this time.
2020-04-01 16:00:00 No data available for PG at this time.
2020-04-02 16:00:00 Received data for AAPL: Close Price = 60.76149961
2020-04-02 16:00:00 No data available for MSFT at this time.
2020-04-02 16:00:00 Received data for GOOGL: Close Price = 1117.03
2020-04-02 16:00:00 No data available for AMZN at this time.
2020-04-02 16:00:00 No data available for TSLA at this time.
2020-04-02 16:00:00 No data available for JNJ at this time.
2020-04-02 16:00:00 No data available for PG at this time.
2020-04-03 16:00:00 Received data for AAPL: Close Price = 59.88826857
2020-04-03 16:00:00 No data available for MSFT at this time.
2020-04-03 16:00:00 Received data for GOOGL: Close Price = 1092.7
2020-04-03 16:00:00 No data available for AMZN at this time.
2020-04-03 16:00:00 No data available for TSLA at this time.
2020-04-03 16:00:00 No data available for JNJ at this time.
2020-04-03 16:00:00 No data available for PG at this time.
2020-04-06 16:00:00 Received data for AAPL: Close Price = 65.11277019
2020-04-06 16:00:00 No data available for MSFT at this time.
2020-04-06 16:00:00 Received data for GOOGL: Close Price = 1183.19
2020-04-06 16:00:00 No data available for AMZN at this time.
2020-04-06 16:00:00 No data available for TSLA at this time.
2020-04-06 16:00:00 No data available for JNJ at this time.
2020-04-06 16:00:00 No data available for PG at this time.
2020-04-07 16:00:00 Received data for AAPL: Close Price = 64.35861611
2020-04-07 16:00:00 No data available for MSFT at this time.
